RegionName,State,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018
West Valley City,UT,2-Bedroom,0,0,0,0,0,0,0,874,898
Renton,WA,2-Bedroom,0,0,0,1279,1310,1430,1537,1618,1646
Canton,OH,2-Bedroom,0,0,0,0,0,595,614,605,615
Metairie,LA,2-Bedroom,0,0,0,0,0,0,0,1126,1129
Edinburg,TX,2-Bedroom,0,0,0,0,0,0,0,681,699
Inglewood,CA,2-Bedroom,0,1183,1244,1271,1300,1367,1430,1606,1796
Orange,CA,2-Bedroom,0,1713,1679,1657,1698,2001,2000,2144,2272
New Haven,CT,2-Bedroom,0,1371,1277,1276,1219,1252,1303,1352,1335
Abilene,TX,2-Bedroom,0,0,0,0,0,0,0,693,689
McAllen,TX,2-Bedroom,0,0,0,0,0,0,0,867,836
Bellevue,WA,2-Bedroom,0,0,0,0,0,0,0,2203,2270
Saginaw,MI,2-Bedroom,0,0,0,0,0,0,0,676,691
Bloomington,IN,2-Bedroom,0,0,1103,1016,988,1076,1030,1143,1150
Olathe,KS,2-Bedroom,0,0,0,0,0,0,0,830,846
Miramar,FL,2-Bedroom,0,1317,1332,1377,1406,1454,1504,1539,1625
Coral Springs,FL,2-Bedroom,1004,1050,1136,1164,1134,1211,1282,1332,1384
Hamilton,OH,2-Bedroom,0,0,0,0,0,0,0,682,756
Hartford,CT,2-Bedroom,0,849,868,965,914,965,962,978,985
Stamford,CT,2-Bedroom,2056,2155,2211,2358,2307,2434,2485,2444,2707
Savannah,GA,2-Bedroom,0,871,889,889,906,1004,968,1067,1259
Simi Valley,CA,2-Bedroom,0,0,0,0,0,1807,1866,1950,2016
Concord,CA,2-Bedroom,0,1254,1341,1379,1382,1488,1750,1925,1971
Sterling Heights,MI,2-Bedroom,0,0,0,0,1132,1166,1196,1145,1124
Elizabeth,NJ,2-Bedroom,0,0,0,0,0,0,0,1405,1454
Frisco,TX,2-Bedroom,0,0,0,0,1260,1347,1518,1596,1646
Joliet,IL,2-Bedroom,0,0,0,0,0,0,0,875,930
Carrollton,TX,2-Bedroom,0,898,942,1012,1129,1154,1226,1361,1381
Billings,MT,2-Bedroom,0,0,0,0,710,729,759,777,795
Allentown,PA,2-Bedroom,0,0,0,0,0,0,0,1011,1052
Amherst,NY,2-Bedroom,0,0,0,0,0,0,0,1265,1341
Santa Fe,NM,2-Bedroom,0,0,0,0,0,0,0,1269,1276
Vallejo,CA,2-Bedroom,0,1018,1064,1131,1149,1311,1496,1577,1714
Independence,MO,2-Bedroom,0,612,618,659,666,665,680,718,758
Santa Clara,CA,2-Bedroom,0,0,2301,2293,2437,2707,2852,2861,2907
Cary,NC,2-Bedroom,0,0,0,0,0,0,0,1207,1288
Cypress,TX,2-Bedroom,0,0,0,0,0,0,1290,1255,1310
Conroe,TX,2-Bedroom,0,0,0,0,0,0,0,0,1356
Berkeley,CA,2-Bedroom,0,0,0,0,0,0,0,3054,3189
Hemet,CA,2-Bedroom,0,853,839,822,838,880,952,1033,1086
Norman,OK,2-Bedroom,0,0,0,673,704,691,725,750,785
Falls Church,VA,2-Bedroom,0,1797,1785,1831,1812,1893,1914,1971,2067
Springfield,IL,2-Bedroom,0,0,0,0,0,0,0,685,688
Lake Charles,LA,2-Bedroom,0,0,0,0,0,0,0,1182,1050
Denton,TX,2-Bedroom,0,0,0,0,0,1039,983,1170,1098
Downey,CA,2-Bedroom,0,0,0,0,0,0,0,1695,1760
Thornton,CO,2-Bedroom,0,1011,966,1048,1144,1298,1414,1458,1519
Frederick,MD,2-Bedroom,0,1113,1027,1134,1265,1301,1298,1273,1314
Westminster,CO,2-Bedroom,0,943,1025,1054,1176,1335,1384,1433,1477
Lansing,MI,2-Bedroom,0,612,620,641,659,659,671,704,724
Waterbury,CT,2-Bedroom,0,792,796,824,861,887,882,900,905
New Port Richey,FL,2-Bedroom,0,0,0,0,0,0,0,914,903
Temecula,CA,2-Bedroom,0,0,0,0,0,0,0,1699,1798
Costa Mesa,CA,2-Bedroom,0,1646,1790,1813,1904,2107,2181,2253,2285
Athens,GA,2-Bedroom,0,0,0,0,0,0,0,755,752
Manchester,NH,2-Bedroom,0,928,991,1067,1033,1050,1121,1237,1246
Vista,CA,2-Bedroom,0,0,1307,1339,1406,1491,1614,1648,1731
Ventura,CA,2-Bedroom,0,1502,1482,1627,1666,1779,1849,1896,2033
Murrieta,CA,2-Bedroom,0,1122,1195,1226,1295,1352,1459,1502,1595
Peoria,IL,2-Bedroom,0,0,0,0,0,0,0,732,732
Chico,CA,2-Bedroom,0,766,790,775,806,894,926,961,971
Ann Arbor,MI,2-Bedroom,0,0,0,0,0,0,0,1434,1495
Lowell,MA,2-Bedroom,0,0,0,1208,1204,1246,1329,1367,1435
Cambridge,MA,2-Bedroom,0,0,2759,2874,2854,2784,2773,2838,2910
Sparks,NV,2-Bedroom,0,0,0,0,0,0,0,1335,1324
Roseville,CA,2-Bedroom,0,0,0,0,0,0,0,1572,1634
Redding,CA,2-Bedroom,0,0,0,0,0,0,773,788,825
Burbank,CA,2-Bedroom,0,1756,1906,2006,2060,2131,2185,2328,2363
Nampa,ID,2-Bedroom,0,560,581,624,623,677,710,749,842
Everett,WA,2-Bedroom,0,912,957,1012,1091,1111,1230,1310,1399
Provo,UT,2-Bedroom,0,0,0,0,0,0,0,775,855
Bend,OR,2-Bedroom,0,0,0,0,0,0,0,0,1372
Palm Bay,FL,2-Bedroom,0,0,0,0,0,0,0,927,959
Tuscaloosa,AL,2-Bedroom,0,0,0,0,0,0,0,867,872
Clearwater,FL,2-Bedroom,0,0,0,0,0,0,1314,1127,1173
Springfield,VA,2-Bedroom,0,0,0,0,0,0,0,0,1878
Wilmington,NC,2-Bedroom,0,817,814,852,876,903,933,978,1040
Pompano Beach,FL,2-Bedroom,0,0,0,0,0,0,0,1557,1586
Davenport,IA,2-Bedroom,0,0,0,0,0,0,0,752,747
Grand Junction,CO,2-Bedroom,0,766,782,790,799,831,832,845,892
Rock Hill,SC,2-Bedroom,0,0,0,0,0,0,0,0,990
Stone Mountain,GA,2-Bedroom,0,0,0,0,0,0,0,998,942
