Year,Month,Day,Month,Open,High,Low,Close,Volume
2011,9,1,2011/09,1243.88,1291.34,1153.96,1171.07,0
2011,10,1,2011/10,1164.41,1392.92,1122.15,1355.84,0
2011,11,1,2011/11,1316.84,1397.62,1229.63,1330.22,0
2011,12,1,2011/12,1329.22,1357.24,1240.15,1300.56,0
2012,1,1,2012/01,1330,1437.35,1302.78,1423.36,0
2012,2,1,2012/02,1444.15,1518.54,1437.17,1488.34,0
2012,3,1,2012/03,1493.77,1559.13,1441.62,1545.29,0
2012,4,1,2012/04,1541.55,1557.18,1428.24,1476.82,0
2012,5,1,2012/05,1476.45,1497.72,1293.61,1306.37,0
2012,6,1,2012/06,1297.33,1372.73,1257.87,1356.49,0
2012,7,1,2012/07,1358.93,1368.49,1253.07,1346,0
2012,8,1,2012/08,1354.33,1437.15,1327.7,1388.21,0
2012,9,1,2012/09,1385.23,1445.72,1360.43,1391.58,0
2012,10,1,2012/10,1397.64,1414.43,1306.86,1309.22,0
2012,11,1,2012/11,1315.72,1369.96,1268.4,1352.64,0
2012,12,1,2012/12,1360.12,1438.8,1344.13,1394.75,0
2013,1,1,2013/01,1427.91,1512.8,1421.19,1487.86,0
2013,2,1,2013/02,1499.18,1517.32,1456.79,1483.01,0
2013,3,1,2013/03,1475.33,1538.57,1465.94,1524.44,0
2013,4,1,2013/04,1522.86,1534.58,1442.01,1524.59,0
2013,5,1,2013/05,1523.13,1599.23,1508.83,1575.16,0
2013,6,1,2013/06,1577.62,1595.4,1502.49,1552.82,0
2013,7,1,2013/07,1562.34,1670.36,1544.5,1660.98,0
2013,8,1,2013/08,1676.84,1701.02,1628.07,1643.54,0
2013,9,1,2013/09,1661.22,1768.29,1650.89,1750.28,0
2013,10,1,2013/10,1748.94,1810.75,1703.43,1775.28,0
2013,11,1,2013/11,1781.74,1822.67,1756.15,1812.47,0
2013,12,1,2013/12,1813.84,1911.527,1803.09,1910.922,0
2014,1,1,2014/01,1897.309,1955.476,1872.193,1897.648,0
2014,2,1,2014/02,1895.374,2040.854,1834.001,2021.126,0
2014,3,1,2014/03,1999.388,2054.375,1975.914,2015.952,0
2014,4,1,2014/04,2025.005,2060.545,1910.273,1970.078,0
2014,5,1,2014/05,1976.777,2062.672,1928.493,2057.631,0
2014,6,1,2014/06,2065.717,2156.236,2046.061,2153.069,0
2014,7,1,2014/07,2159.053,2196.975,2130.586,2137.272,0
2014,8,1,2014/08,2136.214,2227.81,2102.598,2226.984,0
2014,9,1,2014/09,2231.179,2280.373,2192.919,2216.811,0
2014,10,1,2014/10,2210.739,2268.559,1966.198,2263.51,0
2014,11,1,2014/11,2264.383,2403.316,2259.813,2396.161,0
2014,12,1,2014/12,2387.374,2426.258,2283.551,2367.853,0
2015,1,1,2015/01,2379.034,2387.807,2227.057,2229.536,0
2015,2,1,2015/02,2236.368,2427.538,2194.156,2411.991,0
2015,3,1,2015/03,2426.341,2450.274,2272.726,2352.356,0
2015,4,1,2015/04,2342.757,2430.168,2316.238,2370.216,0
2015,5,1,2015/05,2387.476,2468.149,2341.286,2449.368,0
2015,6,1,2015/06,2464.057,2466.67,2294.37,2298.786,0
2015,7,1,2015/07,2318.799,2334.976,2235.378,2298.795,0
2015,8,1,2015/08,2301.3,2337.797,1953.851,2168.151,0
2015,9,1,2015/09,2115.839,2234.446,2056.485,2134.81,0
2015,10,1,2015/10,2136.369,2376.799,2090.91,2346.659,0
2015,11,1,2015/11,2349.562,2389.703,2269.207,2373.341,0
2015,12,1,2015/12,2378.426,2412.17,2272.216,2312.474,0
2016,1,1,2016/01,2261.126,2290.45,1966.265,2137.576,0
2016,2,1,2016/02,2123.045,2182.982,1942.623,2153.023,0
2016,3,1,2016/03,2172.173,2350.824,2166.157,2342.09,0
2016,4,1,2016/04,2323.705,2355.237,2215.206,2231.127,0
2016,5,1,2016/05,2229.204,2393.526,2170.689,2392.008,0
2016,6,1,2016/06,2378.17,2426.058,2206.184,2367.31,0
2016,7,1,2016/07,2350.969,2581.088,2289.075,2546,0
2016,8,1,2016/08,2548.583,2703.848,2496.738,2678.903,0
2016,9,1,2016/09,2680.103,2785.594,2606.27,2775.069,0
2016,10,1,2016/10,2774.892,2808.111,2672.455,2775.911,0
2016,11,1,2016/11,2780.011,2877.192,2674.075,2839.493,0
2016,12,1,2016/12,2838.818,2953.37,2727.932,2868.695,0
2017,1,1,2017/01,2890.724,3099.247,2873.115,3069.019,0
2017,2,1,2017/02,3090.892,3211.561,3056.53,3187.544,0
2017,3,1,2017/03,3216.421,3293.589,3185.35,3275.534,0
2017,4,1,2017/04,3277.103,3359.387,3199.685,3336.765,0
2017,5,1,2017/05,3345.304,3558.885,3336.373,3533.324,0
2017,6,1,2017/06,3537.828,3654.336,3374.37,3400.551,0
2017,7,1,2017/07,3422.78,3608.115,3359.258,3500.97,0
2017,8,1,2017/08,3511.518,3592.897,3407.657,3588.802,0
2017,9,1,2017/09,3597.974,3714.013,3532.868,3713.015,0
2017,10,1,2017/10,3721.711,3976.932,3708.011,3967.675,0
2017,11,1,2017/11,3978.761,4095.06,3893.048,3944.613,0
2017,12,1,2017/12,3918.822,4025.573,3817.358,3920.956,0
2018,1,1,2018/01,3943.097,4290.402,3929.648,4227.406,0
2018,2,1,2018/02,4192.793,4307.027,3741.54,4211.379,0
2018,3,1,2018/03,4217.812,4544.457,4061.502,4148.766,0
2018,4,1,2018/04,4120.527,4294.117,3968.376,4072.935,0
2018,5,1,2018/05,4050.87,4356.148,4029.42,4282.473,0
2018,6,1,2018/06,4309.197,4441.586,4121.199,4193.324,0
2018,7,1,2018/07,4148.91,4439.625,4138.203,4322.719,0
2018,8,1,2018/08,4318.027,4456.879,4206.891,4422.305,0
2018,9,1,2018/09,4391.245,4399.254,4184.984,4241.734,0
