"","Region","RegionName","StateName","MSAName","CountyName","CityName","ForecastYoYPctChange"
"153","County","Linn","OR","Albany","Linn",NA,8.13617376775271
"154","County","Long","GA","Hinesville","Long",NA,5.76070038910506
"155","County","Luna","NM","Deming","Luna",NA,0.29583333333334
"156","County","Lynn","TX","Lubbock","Lynn",NA,0.581294964028767
"157","County","Lyon","KS","Emporia","Lyon",NA,-0.798235942668135
"158","County","Lyon","MN","Marshall","Lyon",NA,5.80327868852459
"159","County","Lyon","NV","Fernley","Lyon",NA,13.1509358821187
"160","County","Maui","HI","Kahului","Maui",NA,2.27550032278889
"161","County","Mesa","CO","Grand Junction","Mesa",NA,6.05343845816908
"162","County","Napa","CA","Napa","Napa",NA,5.06973226440781
"163","County","Ohio","WV","Wheeling","Ohio",NA,-1.71904761904762
"164","County","Otoe","NE",NA,"Otoe",NA,2.50106609808103
"165","County","Owen","IN","Bloomington","Owen",NA,-0.144497607655503
"166","County","Owen","KY",NA,"Owen",NA,10.0447542186354
"167","County","Page","IA",NA,"Page",NA,2.62931034482758
"168","County","Page","VA",NA,"Page",NA,2.11008569545155
"169","County","Park","CO","Denver","Park",NA,6.79543378995433
"170","County","Park","MT",NA,"Park",NA,-2.01890189018902
"171","County","Park","WY",NA,"Park",NA,-2.48369132856007
"172","County","Pike","AL","Troy","Pike",NA,3.33492822966508
"173","County","Pike","GA","Atlanta","Pike",NA,9.28151986183074
"174","County","Pike","IN","Jasper","Pike",NA,12.7656675749319
"175","County","Pike","MO",NA,"Pike",NA,-15.2490594431904
"176","County","Pike","MS","McComb","Pike",NA,5.23377777777778
"177","County","Pima","AZ","Tucson","Pima",NA,0.530933062880323
"178","County","Pine","MN",NA,"Pine",NA,3.23106546854943
"179","County","Polk","AR",NA,"Polk",NA,-1.04525386313465
"180","County","Polk","FL","Lakeland","Polk",NA,6.76891495601173
"181","County","Polk","GA","Cedartown","Polk",NA,6.37402885682574
"182","County","Polk","IA","Des Moines","Polk",NA,2.86743674367436
"183","County","Polk","NC",NA,"Polk",NA,3.06855225311602
"184","County","Polk","OR","Salem","Polk",NA,4.82287449392713
"185","County","Polk","TN","Cleveland","Polk",NA,6.80991735537191
"186","County","Polk","TX",NA,"Polk",NA,2.93758967001434
